Training: 2023-10-28 15:28:49,202-rank_id: 0
Training: 2023-10-28 15:38:12,315-Speed 1135.77 samples/sec   Loss 48.0369   Epoch: 0   Global Step: 1050   Required: 45 hours
Training: 2023-10-28 15:38:29,959-Speed 1088.23 samples/sec   Loss 47.4149   Epoch: 0   Global Step: 1100   Required: 45 hours
Training: 2023-10-28 15:38:47,206-Speed 1113.33 samples/sec   Loss 47.4928   Epoch: 0   Global Step: 1150   Required: 45 hours
Training: 2023-10-28 15:39:04,095-Speed 1136.89 samples/sec   Loss 46.9843   Epoch: 0   Global Step: 1200   Required: 44 hours
Training: 2023-10-28 15:39:21,520-Speed 1101.90 samples/sec   Loss 47.0076   Epoch: 0   Global Step: 1250   Required: 44 hours
Training: 2023-10-28 15:39:38,498-Speed 1130.91 samples/sec   Loss 46.8039   Epoch: 0   Global Step: 1300   Required: 44 hours
Training: 2023-10-28 15:39:55,805-Speed 1109.40 samples/sec   Loss 46.5490   Epoch: 0   Global Step: 1350   Required: 44 hours
Training: 2023-10-28 15:40:12,583-Speed 1144.44 samples/sec   Loss 46.4684   Epoch: 0   Global Step: 1400   Required: 44 hours
Training: 2023-10-28 15:40:29,465-Speed 1137.36 samples/sec   Loss 46.3909   Epoch: 0   Global Step: 1450   Required: 44 hours
Training: 2023-10-28 15:40:46,579-Speed 1121.95 samples/sec   Loss 46.0699   Epoch: 0   Global Step: 1500   Required: 44 hours
Training: 2023-10-28 15:41:03,739-Speed 1118.94 samples/sec   Loss 46.0226   Epoch: 0   Global Step: 1550   Required: 44 hours
Training: 2023-10-28 15:41:20,709-Speed 1131.46 samples/sec   Loss 45.9383   Epoch: 0   Global Step: 1600   Required: 44 hours
Training: 2023-10-28 15:41:38,267-Speed 1093.56 samples/sec   Loss 45.7279   Epoch: 0   Global Step: 1650   Required: 44 hours
Training: 2023-10-28 15:41:55,845-Speed 1092.35 samples/sec   Loss 45.6978   Epoch: 0   Global Step: 1700   Required: 44 hours
Training: 2023-10-28 15:42:12,700-Speed 1139.20 samples/sec   Loss 45.7389   Epoch: 0   Global Step: 1750   Required: 44 hours
Training: 2023-10-28 15:42:29,684-Speed 1130.54 samples/sec   Loss 45.6146   Epoch: 0   Global Step: 1800   Required: 44 hours
Training: 2023-10-28 15:42:46,625-Speed 1133.36 samples/sec   Loss 45.4129   Epoch: 0   Global Step: 1850   Required: 44 hours
Training: 2023-10-28 15:43:03,567-Speed 1133.37 samples/sec   Loss 45.3256   Epoch: 0   Global Step: 1900   Required: 44 hours
Training: 2023-10-28 15:43:20,803-Speed 1114.04 samples/sec   Loss 45.1970   Epoch: 0   Global Step: 1950   Required: 44 hours
Training: 2023-10-28 15:43:37,634-Speed 1140.77 samples/sec   Loss 45.0361   Epoch: 0   Global Step: 2000   Required: 44 hours
Training: 2023-10-28 15:43:54,684-Speed 1126.19 samples/sec   Loss 44.8813   Epoch: 0   Global Step: 2050   Required: 44 hours
Training: 2023-10-28 15:44:11,736-Speed 1125.99 samples/sec   Loss 44.8898   Epoch: 0   Global Step: 2100   Required: 44 hours
Training: 2023-10-28 15:44:29,377-Speed 1088.46 samples/sec   Loss 44.8327   Epoch: 0   Global Step: 2150   Required: 44 hours
Training: 2023-10-28 15:44:46,718-Speed 1107.29 samples/sec   Loss 44.6990   Epoch: 0   Global Step: 2200   Required: 44 hours
Training: 2023-10-28 15:45:03,870-Speed 1119.41 samples/sec   Loss 44.7323   Epoch: 0   Global Step: 2250   Required: 44 hours
Training: 2023-10-28 15:45:21,568-Speed 1084.94 samples/sec   Loss 44.6134   Epoch: 0   Global Step: 2300   Required: 44 hours
Training: 2023-10-28 15:45:38,508-Speed 1133.49 samples/sec   Loss 44.4408   Epoch: 0   Global Step: 2350   Required: 44 hours
Training: 2023-10-28 15:45:55,382-Speed 1137.91 samples/sec   Loss 44.4210   Epoch: 0   Global Step: 2400   Required: 44 hours
Training: 2023-10-28 15:46:12,964-Speed 1092.08 samples/sec   Loss 44.3045   Epoch: 0   Global Step: 2450   Required: 44 hours
Training: 2023-10-28 15:46:29,983-Speed 1128.22 samples/sec   Loss 44.2185   Epoch: 0   Global Step: 2500   Required: 44 hours
Training: 2023-10-28 15:46:47,414-Speed 1101.53 samples/sec   Loss 44.1416   Epoch: 0   Global Step: 2550   Required: 44 hours
Training: 2023-10-28 15:47:04,533-Speed 1121.64 samples/sec   Loss 44.0275   Epoch: 0   Global Step: 2600   Required: 44 hours
Training: 2023-10-28 15:47:21,820-Speed 1110.69 samples/sec   Loss 43.9253   Epoch: 0   Global Step: 2650   Required: 44 hours
Training: 2023-10-28 15:47:39,225-Speed 1103.20 samples/sec   Loss 43.9074   Epoch: 0   Global Step: 2700   Required: 44 hours
Training: 2023-10-28 15:47:56,644-Speed 1102.30 samples/sec   Loss 43.7701   Epoch: 0   Global Step: 2750   Required: 44 hours
Training: 2023-10-28 15:48:14,456-Speed 1077.99 samples/sec   Loss 43.7465   Epoch: 0   Global Step: 2800   Required: 44 hours
Training: 2023-10-28 15:48:31,773-Speed 1108.77 samples/sec   Loss 43.5663   Epoch: 0   Global Step: 2850   Required: 44 hours
Training: 2023-10-28 15:48:48,789-Speed 1128.40 samples/sec   Loss 43.5196   Epoch: 0   Global Step: 2900   Required: 44 hours
Training: 2023-10-28 15:49:06,374-Speed 1091.89 samples/sec   Loss 43.4870   Epoch: 0   Global Step: 2950   Required: 44 hours
Training: 2023-10-28 15:49:23,701-Speed 1108.20 samples/sec   Loss 43.3543   Epoch: 0   Global Step: 3000   Required: 44 hours
Training: 2023-10-28 15:49:40,704-Speed 1129.27 samples/sec   Loss 43.2586   Epoch: 0   Global Step: 3050   Required: 44 hours
Training: 2023-10-28 15:49:57,818-Speed 1121.96 samples/sec   Loss 43.0983   Epoch: 0   Global Step: 3100   Required: 44 hours
Training: 2023-10-28 15:50:14,583-Speed 1145.34 samples/sec   Loss 43.1074   Epoch: 0   Global Step: 3150   Required: 44 hours
Training: 2023-10-28 15:50:32,020-Speed 1101.15 samples/sec   Loss 42.9528   Epoch: 0   Global Step: 3200   Required: 44 hours
Training: 2023-10-28 15:50:49,427-Speed 1103.10 samples/sec   Loss 42.8316   Epoch: 0   Global Step: 3250   Required: 44 hours
Training: 2023-10-28 15:51:06,569-Speed 1120.12 samples/sec   Loss 42.8734   Epoch: 0   Global Step: 3300   Required: 44 hours
Training: 2023-10-28 15:51:23,608-Speed 1126.84 samples/sec   Loss 42.6280   Epoch: 0   Global Step: 3350   Required: 44 hours
Training: 2023-10-28 15:51:40,580-Speed 1131.39 samples/sec   Loss 42.6166   Epoch: 0   Global Step: 3400   Required: 44 hours
Training: 2023-10-28 15:51:57,707-Speed 1121.09 samples/sec   Loss 42.5170   Epoch: 0   Global Step: 3450   Required: 44 hours
Training: 2023-10-28 15:52:14,792-Speed 1123.87 samples/sec   Loss 42.4749   Epoch: 0   Global Step: 3500   Required: 44 hours
Training: 2023-10-28 15:52:32,130-Speed 1107.45 samples/sec   Loss 42.3391   Epoch: 0   Global Step: 3550   Required: 44 hours
Training: 2023-10-28 15:52:49,470-Speed 1107.29 samples/sec   Loss 42.1811   Epoch: 0   Global Step: 3600   Required: 44 hours
Training: 2023-10-28 15:53:06,373-Speed 1135.98 samples/sec   Loss 42.0467   Epoch: 0   Global Step: 3650   Required: 44 hours
Training: 2023-10-28 15:53:23,342-Speed 1131.53 samples/sec   Loss 41.9797   Epoch: 0   Global Step: 3700   Required: 44 hours
Training: 2023-10-28 15:53:40,162-Speed 1141.58 samples/sec   Loss 41.8497   Epoch: 0   Global Step: 3750   Required: 44 hours
Training: 2023-10-28 15:53:57,310-Speed 1119.72 samples/sec   Loss 41.7723   Epoch: 0   Global Step: 3800   Required: 44 hours
Training: 2023-10-28 15:54:14,320-Speed 1128.82 samples/sec   Loss 41.7510   Epoch: 0   Global Step: 3850   Required: 44 hours
Training: 2023-10-28 15:54:31,628-Speed 1109.38 samples/sec   Loss 41.5765   Epoch: 0   Global Step: 3900   Required: 44 hours
Training: 2023-10-28 15:54:49,537-Speed 1072.18 samples/sec   Loss 41.3889   Epoch: 0   Global Step: 3950   Required: 44 hours
Training: 2023-10-28 15:55:07,162-Speed 1089.42 samples/sec   Loss 41.2768   Epoch: 0   Global Step: 4000   Required: 44 hours
Training: 2023-10-28 15:55:24,875-Speed 1084.01 samples/sec   Loss 41.1593   Epoch: 0   Global Step: 4050   Required: 44 hours
Training: 2023-10-28 15:55:42,533-Speed 1087.41 samples/sec   Loss 41.1138   Epoch: 0   Global Step: 4100   Required: 44 hours
Training: 2023-10-28 15:55:59,956-Speed 1102.06 samples/sec   Loss 40.9719   Epoch: 0   Global Step: 4150   Required: 44 hours
Training: 2023-10-28 15:56:17,825-Speed 1074.52 samples/sec   Loss 40.8051   Epoch: 0   Global Step: 4200   Required: 44 hours
Training: 2023-10-28 15:56:34,957-Speed 1120.72 samples/sec   Loss 40.7196   Epoch: 0   Global Step: 4250   Required: 44 hours
Training: 2023-10-28 15:56:52,666-Speed 1084.30 samples/sec   Loss 40.5054   Epoch: 0   Global Step: 4300   Required: 44 hours
Training: 2023-10-28 15:57:10,330-Speed 1086.97 samples/sec   Loss 40.6138   Epoch: 0   Global Step: 4350   Required: 44 hours
Training: 2023-10-28 15:57:27,769-Speed 1101.05 samples/sec   Loss 40.4691   Epoch: 0   Global Step: 4400   Required: 44 hours
Training: 2023-10-28 15:57:45,236-Speed 1099.25 samples/sec   Loss 40.2180   Epoch: 0   Global Step: 4450   Required: 44 hours
Training: 2023-10-28 15:58:02,393-Speed 1119.13 samples/sec   Loss 40.1214   Epoch: 0   Global Step: 4500   Required: 44 hours
Training: 2023-10-28 15:58:19,551-Speed 1119.08 samples/sec   Loss 40.0243   Epoch: 0   Global Step: 4550   Required: 44 hours
Training: 2023-10-28 15:58:37,469-Speed 1071.59 samples/sec   Loss 39.6660   Epoch: 0   Global Step: 4600   Required: 44 hours
Training: 2023-10-28 15:58:55,013-Speed 1094.43 samples/sec   Loss 39.7089   Epoch: 0   Global Step: 4650   Required: 44 hours
Training: 2023-10-28 15:59:11,890-Speed 1137.72 samples/sec   Loss 39.7045   Epoch: 0   Global Step: 4700   Required: 44 hours
Training: 2023-10-28 15:59:29,190-Speed 1109.86 samples/sec   Loss 39.4767   Epoch: 0   Global Step: 4750   Required: 44 hours
Training: 2023-10-28 15:59:47,191-Speed 1066.63 samples/sec   Loss 39.5117   Epoch: 0   Global Step: 4800   Required: 44 hours
Training: 2023-10-28 16:00:04,137-Speed 1133.10 samples/sec   Loss 39.0341   Epoch: 0   Global Step: 4850   Required: 44 hours
Training: 2023-10-28 16:00:21,273-Speed 1120.42 samples/sec   Loss 38.9319   Epoch: 0   Global Step: 4900   Required: 44 hours
Training: 2023-10-28 16:00:38,391-Speed 1121.73 samples/sec   Loss 38.7660   Epoch: 0   Global Step: 4950   Required: 44 hours
Training: 2023-10-28 16:00:56,386-Speed 1067.00 samples/sec   Loss 38.7329   Epoch: 0   Global Step: 5000   Required: 44 hours
Training: 2023-10-28 16:01:13,933-Speed 1094.29 samples/sec   Loss 38.5992   Epoch: 0   Global Step: 5050   Required: 44 hours
Training: 2023-10-28 16:01:31,199-Speed 1112.03 samples/sec   Loss 38.3783   Epoch: 0   Global Step: 5100   Required: 44 hours
Training: 2023-10-28 16:01:48,409-Speed 1115.67 samples/sec   Loss 38.1398   Epoch: 0   Global Step: 5150   Required: 44 hours
Training: 2023-10-28 16:02:05,414-Speed 1129.15 samples/sec   Loss 38.1608   Epoch: 0   Global Step: 5200   Required: 44 hours
Training: 2023-10-28 16:02:22,632-Speed 1115.13 samples/sec   Loss 37.9189   Epoch: 0   Global Step: 5250   Required: 44 hours
Training: 2023-10-28 16:02:39,609-Speed 1131.05 samples/sec   Loss 37.6310   Epoch: 0   Global Step: 5300   Required: 44 hours
Training: 2023-10-28 16:02:56,597-Speed 1130.25 samples/sec   Loss 37.6158   Epoch: 0   Global Step: 5350   Required: 44 hours
Training: 2023-10-28 16:03:13,647-Speed 1126.13 samples/sec   Loss 37.3627   Epoch: 0   Global Step: 5400   Required: 44 hours
Training: 2023-10-28 16:03:31,211-Speed 1093.24 samples/sec   Loss 37.3633   Epoch: 0   Global Step: 5450   Required: 44 hours
Training: 2023-10-28 16:03:48,392-Speed 1117.51 samples/sec   Loss 36.8715   Epoch: 0   Global Step: 5500   Required: 44 hours
Training: 2023-10-28 16:04:05,555-Speed 1118.76 samples/sec   Loss 36.9496   Epoch: 0   Global Step: 5550   Required: 44 hours
Training: 2023-10-28 16:04:23,036-Speed 1098.35 samples/sec   Loss 36.6577   Epoch: 0   Global Step: 5600   Required: 44 hours
Training: 2023-10-28 16:04:40,675-Speed 1088.54 samples/sec   Loss 36.4503   Epoch: 0   Global Step: 5650   Required: 44 hours
Training: 2023-10-28 16:05:32,352-[lfw][5686]XNorm: 13.015683
Training: 2023-10-28 16:05:32,352-[lfw][5686]Accuracy-Flip: 0.94233+-0.01409
Training: 2023-10-28 16:05:32,352-[lfw][5686]Accuracy-Highest: 0.94233
Training: 2023-10-28 16:06:09,152-[calfw][5686]XNorm: 12.847726
Training: 2023-10-28 16:06:09,152-[calfw][5686]Accuracy-Flip: 0.82167+-0.00745
Training: 2023-10-28 16:06:09,152-[calfw][5686]Accuracy-Highest: 0.82167
Training: 2023-10-28 16:06:45,831-[cplfw][5686]XNorm: 17.590543
Training: 2023-10-28 16:06:45,831-[cplfw][5686]Accuracy-Flip: 0.69083+-0.02119
Training: 2023-10-28 16:06:45,831-[cplfw][5686]Accuracy-Highest: 0.69083
Training: 2023-10-28 16:07:28,444-[cfp_fp][5686]XNorm: 15.404510
Training: 2023-10-28 16:07:28,444-[cfp_fp][5686]Accuracy-Flip: 0.75300+-0.01432
Training: 2023-10-28 16:07:28,444-[cfp_fp][5686]Accuracy-Highest: 0.75300
Training: 2023-10-28 16:08:05,261-[agedb_30][5686]XNorm: 12.176739
Training: 2023-10-28 16:08:05,261-[agedb_30][5686]Accuracy-Flip: 0.75033+-0.02146
Training: 2023-10-28 16:08:05,261-[agedb_30][5686]Accuracy-Highest: 0.75033
Training: 2023-10-28 16:08:09,922-Speed 91.76 samples/sec   Loss 36.2600   Epoch: 0   Global Step: 5700   Required: 48 hours
Training: 2023-10-28 16:08:27,279-Speed 1106.23 samples/sec   Loss 36.2034   Epoch: 0   Global Step: 5750   Required: 48 hours
Training: 2023-10-28 16:08:44,502-Speed 1114.88 samples/sec   Loss 35.8302   Epoch: 0   Global Step: 5800   Required: 48 hours
Training: 2023-10-28 16:09:02,579-Speed 1062.16 samples/sec   Loss 35.6310   Epoch: 0   Global Step: 5850   Required: 48 hours
Training: 2023-10-28 16:09:20,028-Speed 1100.43 samples/sec   Loss 35.4190   Epoch: 0   Global Step: 5900   Required: 48 hours
Training: 2023-10-28 16:09:36,958-Speed 1134.15 samples/sec   Loss 35.3604   Epoch: 0   Global Step: 5950   Required: 48 hours
Training: 2023-10-28 16:09:53,849-Speed 1136.77 samples/sec   Loss 35.1616   Epoch: 0   Global Step: 6000   Required: 48 hours
Training: 2023-10-28 16:10:10,607-Speed 1145.78 samples/sec   Loss 34.8657   Epoch: 0   Global Step: 6050   Required: 48 hours
Training: 2023-10-28 16:10:27,474-Speed 1138.43 samples/sec   Loss 34.7868   Epoch: 0   Global Step: 6100   Required: 47 hours
Training: 2023-10-28 16:10:44,424-Speed 1132.77 samples/sec   Loss 34.6624   Epoch: 0   Global Step: 6150   Required: 47 hours
Training: 2023-10-28 16:11:01,927-Speed 1097.03 samples/sec   Loss 34.3955   Epoch: 0   Global Step: 6200   Required: 47 hours
Training: 2023-10-28 16:11:19,099-Speed 1118.16 samples/sec   Loss 34.1186   Epoch: 0   Global Step: 6250   Required: 47 hours
Training: 2023-10-28 16:11:36,839-Speed 1082.40 samples/sec   Loss 33.9287   Epoch: 0   Global Step: 6300   Required: 47 hours
Training: 2023-10-28 16:11:55,092-Speed 1051.95 samples/sec   Loss 33.7555   Epoch: 0   Global Step: 6350   Required: 47 hours
Training: 2023-10-28 16:12:12,907-Speed 1077.76 samples/sec   Loss 33.3812   Epoch: 0   Global Step: 6400   Required: 47 hours
Training: 2023-10-28 16:12:30,188-Speed 1111.14 samples/sec   Loss 33.5096   Epoch: 0   Global Step: 6450   Required: 47 hours
Training: 2023-10-28 16:12:47,209-Speed 1128.08 samples/sec   Loss 33.3475   Epoch: 0   Global Step: 6500   Required: 47 hours
Training: 2023-10-28 16:13:04,777-Speed 1092.97 samples/sec   Loss 32.7910   Epoch: 0   Global Step: 6550   Required: 47 hours
Training: 2023-10-28 16:13:21,995-Speed 1115.20 samples/sec   Loss 32.7403   Epoch: 0   Global Step: 6600   Required: 47 hours
Training: 2023-10-28 16:13:39,063-Speed 1124.96 samples/sec   Loss 32.3892   Epoch: 0   Global Step: 6650   Required: 47 hours
Training: 2023-10-28 16:13:55,942-Speed 1137.58 samples/sec   Loss 32.3354   Epoch: 0   Global Step: 6700   Required: 47 hours
Training: 2023-10-28 16:14:13,030-Speed 1123.67 samples/sec   Loss 32.1415   Epoch: 0   Global Step: 6750   Required: 47 hours
Training: 2023-10-28 16:14:30,241-Speed 1115.66 samples/sec   Loss 32.0269   Epoch: 0   Global Step: 6800   Required: 47 hours
Training: 2023-10-28 16:14:47,090-Speed 1139.61 samples/sec   Loss 31.7263   Epoch: 0   Global Step: 6850   Required: 47 hours
Training: 2023-10-28 16:15:04,827-Speed 1082.52 samples/sec   Loss 31.7064   Epoch: 0   Global Step: 6900   Required: 47 hours
Training: 2023-10-28 16:15:22,606-Speed 1080.01 samples/sec   Loss 31.6298   Epoch: 0   Global Step: 6950   Required: 47 hours
Training: 2023-10-28 16:15:40,369-Speed 1080.94 samples/sec   Loss 31.4464   Epoch: 0   Global Step: 7000   Required: 47 hours
Training: 2023-10-28 16:15:57,782-Speed 1102.71 samples/sec   Loss 30.9229   Epoch: 0   Global Step: 7050   Required: 47 hours
Training: 2023-10-28 16:16:15,424-Speed 1088.34 samples/sec   Loss 30.9787   Epoch: 0   Global Step: 7100   Required: 47 hours
Training: 2023-10-28 16:16:32,612-Speed 1117.16 samples/sec   Loss 30.9294   Epoch: 0   Global Step: 7150   Required: 47 hours
Training: 2023-10-28 16:16:49,937-Speed 1108.31 samples/sec   Loss 30.5132   Epoch: 0   Global Step: 7200   Required: 47 hours
Training: 2023-10-28 16:17:08,143-Speed 1054.65 samples/sec   Loss 30.2946   Epoch: 0   Global Step: 7250   Required: 47 hours
Training: 2023-10-28 16:17:26,081-Speed 1070.40 samples/sec   Loss 29.9665   Epoch: 0   Global Step: 7300   Required: 47 hours
Training: 2023-10-28 16:17:43,324-Speed 1113.55 samples/sec   Loss 30.1551   Epoch: 0   Global Step: 7350   Required: 47 hours
Training: 2023-10-28 16:18:00,999-Speed 1086.35 samples/sec   Loss 29.7827   Epoch: 0   Global Step: 7400   Required: 47 hours
Training: 2023-10-28 16:18:18,147-Speed 1119.74 samples/sec   Loss 30.1904   Epoch: 0   Global Step: 7450   Required: 47 hours
Training: 2023-10-28 16:18:36,283-Speed 1058.74 samples/sec   Loss 29.4859   Epoch: 0   Global Step: 7500   Required: 47 hours
Training: 2023-10-28 16:18:54,057-Speed 1080.29 samples/sec   Loss 29.0865   Epoch: 0   Global Step: 7550   Required: 47 hours
Training: 2023-10-28 16:19:10,905-Speed 1139.68 samples/sec   Loss 29.0977   Epoch: 0   Global Step: 7600   Required: 47 hours
Training: 2023-10-28 16:19:27,969-Speed 1125.22 samples/sec   Loss 29.0844   Epoch: 0   Global Step: 7650   Required: 47 hours
Training: 2023-10-28 16:19:45,073-Speed 1122.61 samples/sec   Loss 28.9383   Epoch: 0   Global Step: 7700   Required: 47 hours
Training: 2023-10-28 16:20:02,518-Speed 1100.68 samples/sec   Loss 28.7444   Epoch: 0   Global Step: 7750   Required: 47 hours
Training: 2023-10-28 16:20:20,403-Speed 1073.61 samples/sec   Loss 28.4520   Epoch: 0   Global Step: 7800   Required: 46 hours
Training: 2023-10-28 16:20:38,203-Speed 1078.67 samples/sec   Loss 28.5063   Epoch: 0   Global Step: 7850   Required: 46 hours
Training: 2023-10-28 16:20:55,551-Speed 1106.87 samples/sec   Loss 28.4044   Epoch: 0   Global Step: 7900   Required: 46 hours
Training: 2023-10-28 16:21:13,285-Speed 1082.72 samples/sec   Loss 28.0367   Epoch: 0   Global Step: 7950   Required: 46 hours
Training: 2023-10-28 16:21:30,625-Speed 1107.30 samples/sec   Loss 27.9514   Epoch: 0   Global Step: 8000   Required: 46 hours
Training: 2023-10-28 16:21:47,763-Speed 1120.44 samples/sec   Loss 27.6596   Epoch: 0   Global Step: 8050   Required: 46 hours
Training: 2023-10-28 16:22:04,869-Speed 1122.44 samples/sec   Loss 27.6071   Epoch: 0   Global Step: 8100   Required: 46 hours
Training: 2023-10-28 16:22:22,536-Speed 1086.88 samples/sec   Loss 27.7775   Epoch: 0   Global Step: 8150   Required: 46 hours
Training: 2023-10-28 16:22:39,793-Speed 1112.63 samples/sec   Loss 27.2638   Epoch: 0   Global Step: 8200   Required: 46 hours
Training: 2023-10-28 16:22:57,081-Speed 1110.69 samples/sec   Loss 27.3085   Epoch: 0   Global Step: 8250   Required: 46 hours
Training: 2023-10-28 16:23:14,934-Speed 1075.53 samples/sec   Loss 27.4435   Epoch: 0   Global Step: 8300   Required: 46 hours
Training: 2023-10-28 16:23:32,668-Speed 1082.68 samples/sec   Loss 27.1520   Epoch: 0   Global Step: 8350   Required: 46 hours
Training: 2023-10-28 16:23:50,365-Speed 1085.03 samples/sec   Loss 26.6885   Epoch: 0   Global Step: 8400   Required: 46 hours
Training: 2023-10-28 16:24:07,652-Speed 1110.71 samples/sec   Loss 26.8621   Epoch: 0   Global Step: 8450   Required: 46 hours
Training: 2023-10-28 16:24:24,783-Speed 1120.87 samples/sec   Loss 26.5964   Epoch: 0   Global Step: 8500   Required: 46 hours
Training: 2023-10-28 16:24:41,948-Speed 1118.59 samples/sec   Loss 26.7194   Epoch: 0   Global Step: 8550   Required: 46 hours
Training: 2023-10-28 16:24:59,073-Speed 1121.22 samples/sec   Loss 26.4740   Epoch: 0   Global Step: 8600   Required: 46 hours
Training: 2023-10-28 16:25:16,087-Speed 1128.57 samples/sec   Loss 26.0288   Epoch: 0   Global Step: 8650   Required: 46 hours
Training: 2023-10-28 16:25:33,273-Speed 1117.25 samples/sec   Loss 25.9199   Epoch: 0   Global Step: 8700   Required: 46 hours
Training: 2023-10-28 16:25:50,976-Speed 1084.60 samples/sec   Loss 26.0397   Epoch: 0   Global Step: 8750   Required: 46 hours
Training: 2023-10-28 16:26:08,780-Speed 1078.43 samples/sec   Loss 25.9489   Epoch: 0   Global Step: 8800   Required: 46 hours
Training: 2023-10-28 16:26:25,781-Speed 1129.44 samples/sec   Loss 25.9192   Epoch: 0   Global Step: 8850   Required: 46 hours
Training: 2023-10-28 16:26:43,183-Speed 1103.38 samples/sec   Loss 25.6216   Epoch: 0   Global Step: 8900   Required: 46 hours
Training: 2023-10-28 16:27:00,016-Speed 1140.66 samples/sec   Loss 25.6335   Epoch: 0   Global Step: 8950   Required: 46 hours
Training: 2023-10-28 16:27:17,067-Speed 1126.12 samples/sec   Loss 25.7737   Epoch: 0   Global Step: 9000   Required: 46 hours
Training: 2023-10-28 16:27:34,565-Speed 1097.33 samples/sec   Loss 25.1916   Epoch: 0   Global Step: 9050   Required: 46 hours
Training: 2023-10-28 16:27:52,216-Speed 1087.80 samples/sec   Loss 25.3925   Epoch: 0   Global Step: 9100   Required: 46 hours
Training: 2023-10-28 16:28:10,363-Speed 1058.06 samples/sec   Loss 25.0759   Epoch: 0   Global Step: 9150   Required: 46 hours
Training: 2023-10-28 16:28:28,163-Speed 1078.75 samples/sec   Loss 25.0521   Epoch: 0   Global Step: 9200   Required: 46 hours
Training: 2023-10-28 16:28:46,132-Speed 1068.59 samples/sec   Loss 25.1326   Epoch: 0   Global Step: 9250   Required: 46 hours
Training: 2023-10-28 16:29:03,639-Speed 1096.77 samples/sec   Loss 24.9696   Epoch: 0   Global Step: 9300   Required: 46 hours
Training: 2023-10-28 16:29:21,262-Speed 1089.59 samples/sec   Loss 24.7063   Epoch: 0   Global Step: 9350   Required: 46 hours
Training: 2023-10-28 16:29:38,534-Speed 1111.68 samples/sec   Loss 24.8343   Epoch: 0   Global Step: 9400   Required: 46 hours
Training: 2023-10-28 16:29:56,369-Speed 1076.58 samples/sec   Loss 24.5501   Epoch: 0   Global Step: 9450   Required: 46 hours
Training: 2023-10-28 16:30:14,076-Speed 1084.37 samples/sec   Loss 24.5905   Epoch: 0   Global Step: 9500   Required: 46 hours
Training: 2023-10-28 16:30:31,391-Speed 1108.95 samples/sec   Loss 24.5504   Epoch: 0   Global Step: 9550   Required: 46 hours
